clf_wt,class_wt,C1,C2,P1,P2,F1_score
0.7 0.3,4,0.001,31.6227766017,l2,l2,0.2222222222
0.7 0.3,4,0.001,1000,l2,l2,0.2222222222
0.7 0.3,4,0.0316227766,1,l2,l2,0.2222222222
0.7 0.3,4,0.0316227766,31.6227766017,l2,l2,0.2222222222
0.7 0.3,4,0.0316227766,1000,l2,l2,0.2222222222
0.5 0.5,3,0.0316227766,1000,l1,l1,0.2
0.7 0.3,4,0.001,0.0316227766,l1,l1,0.2
0.7 0.3,4,0.001,1,l1,l1,0.2
0.7 0.3,4,0.001,31.6227766017,l1,l1,0.2
0.7 0.3,4,0.001,1000,l1,l1,0.2
0.3 0.7,3,0.001,0.001,l1,l1,0.2
0.3 0.7,3,0.001,1000,l1,l1,0.2
0.3 0.7,3,1,0.0316227766,l1,l1,0.2
0.3 0.7,3,1,1,l1,l1,0.2
0.3 0.7,3,31.6227766017,0.0316227766,l1,l1,0.2
0.3 0.7,3,31.6227766017,1,l1,l1,0.2
0.3 0.7,3,31.6227766017,31.6227766017,l1,l1,0.2
0.3 0.7,3,1000,0.0316227766,l1,l1,0.2
0.3 0.7,3,1000,1,l1,l1,0.2
0.3 0.7,3,1000,1000,l1,l1,0.2
0.5 0.5,4,0.001,0.0316227766,l1,l2,0.2
0.5 0.5,4,0.001,1,l1,l2,0.2
0.7 0.3,4,0.001,0.001,l1,l2,0.2
0.7 0.3,4,0.001,0.0316227766,l1,l2,0.2
0.7 0.3,4,0.001,1,l1,l2,0.2
0.7 0.3,4,0.001,31.6227766017,l1,l2,0.2
0.7 0.3,4,0.001,1000,l1,l2,0.2
0.3 0.7,3,0.0316227766,0.0316227766,l1,l2,0.2
0.3 0.7,3,31.6227766017,0.001,l1,l2,0.2
0.7 0.3,3,31.6227766017,0.0316227766,l2,l1,0.2
0.7 0.3,3,31.6227766017,1,l2,l1,0.2
0.7 0.3,3,31.6227766017,31.6227766017,l2,l1,0.2
0.7 0.3,3,1000,0.001,l2,l1,0.2
0.7 0.3,3,1000,0.0316227766,l2,l1,0.2
0.7 0.3,3,1000,1,l2,l1,0.2
0.7 0.3,3,1000,31.6227766017,l2,l1,0.2
0.7 0.3,3,1000,1000,l2,l1,0.2
0.7 0.3,4,0.001,0.001,l2,l1,0.2
0.7 0.3,4,0.001,0.0316227766,l2,l1,0.2
0.7 0.3,4,0.001,1,l2,l1,0.2
0.7 0.3,4,0.001,31.6227766017,l2,l1,0.2
0.7 0.3,4,0.001,1000,l2,l1,0.2
0.7 0.3,4,0.0316227766,0.0316227766,l2,l1,0.2
0.7 0.3,4,0.0316227766,1,l2,l1,0.2
0.7 0.3,4,0.0316227766,31.6227766017,l2,l1,0.2
0.7 0.3,4,0.0316227766,1000,l2,l1,0.2
0.3 0.7,3,0.001,1,l2,l1,0.2
0.3 0.7,3,0.001,1000,l2,l1,0.2
0.5 0.5,4,0.0316227766,0.001,l2,l2,0.2
0.7 0.3,4,0.001,0.001,l2,l2,0.2
0.7 0.3,4,0.0316227766,0.001,l2,l2,0.2
0.7 0.3,4,0.0316227766,0.0316227766,l2,l2,0.2
0.7 0.3,4,1,1,l2,l2,0.2
0.7 0.3,4,1,31.6227766017,l2,l2,0.2
0.7 0.3,4,1,1000,l2,l2,0.2
0.3 0.7,3,0.001,0.0316227766,l2,l2,0.2
0.5 0.5,3,0.0316227766,31.6227766017,l1,l1,0.1818181818
0.5 0.5,4,0.0316227766,0.001,l1,l1,0.1818181818
0.3 0.7,3,0.001,1,l1,l1,0.1818181818
0.3 0.7,3,0.001,31.6227766017,l1,l1,0.1818181818
0.3 0.7,3,0.0316227766,0.0316227766,l1,l1,0.1818181818
0.3 0.7,3,0.0316227766,1,l1,l1,0.1818181818
0.3 0.7,3,0.0316227766,31.6227766017,l1,l1,0.1818181818
0.3 0.7,3,0.0316227766,1000,l1,l1,0.1818181818
0.3 0.7,3,1,31.6227766017,l1,l1,0.1818181818
0.3 0.7,3,1,1000,l1,l1,0.1818181818
0.3 0.7,3,31.6227766017,1000,l1,l1,0.1818181818
0.3 0.7,3,1000,31.6227766017,l1,l1,0.1818181818
0.5 0.5,4,0.001,0.001,l1,l2,0.1818181818
0.5 0.5,4,0.001,0.001,l2,l1,0.1818181818
0.5 0.5,4,0.0316227766,1000,l2,l1,0.1818181818
0.5 0.5,4,1,0.001,l2,l1,0.1818181818
0.5 0.5,4,31.6227766017,0.001,l2,l1,0.1818181818
0.5 0.5,4,1000,0.001,l2,l1,0.1818181818
0.7 0.3,4,1,0.001,l2,l1,0.1818181818
0.3 0.7,3,0.001,31.6227766017,l2,l1,0.1818181818
0.3 0.7,3,0.0316227766,1,l2,l1,0.1818181818
0.3 0.7,3,0.0316227766,31.6227766017,l2,l1,0.1818181818
0.3 0.7,3,0.0316227766,1000,l2,l1,0.1818181818
0.3 0.7,3,1,31.6227766017,l2,l1,0.1818181818
0.3 0.7,3,1,1000,l2,l1,0.1818181818
0.3 0.7,3,31.6227766017,1000,l2,l1,0.1818181818
0.5 0.5,4,1,0.001,l2,l2,0.1818181818
0.5 0.5,4,31.6227766017,0.001,l2,l2,0.1818181818
0.5 0.5,4,1000,0.001,l2,l2,0.1818181818
0.7 0.3,4,1,0.001,l2,l2,0.1818181818
0.5 0.5,4,1,0.0316227766,l2,l1,0.1666666667
0.5 0.5,4,1,1,l2,l1,0.1666666667
0.5 0.5,4,31.6227766017,0.0316227766,l2,l1,0.1666666667
0.5 0.5,4,31.6227766017,1,l2,l1,0.1666666667
0.5 0.5,4,31.6227766017,31.6227766017,l2,l1,0.1666666667
0.5 0.5,4,31.6227766017,1000,l2,l1,0.1666666667
0.5 0.5,4,1000,0.0316227766,l2,l1,0.1666666667
0.5 0.5,4,1000,1,l2,l1,0.1666666667
0.5 0.5,4,1000,31.6227766017,l2,l1,0.1666666667
0.5 0.5,4,1000,1000,l2,l1,0.1666666667
0.7 0.3,4,1,0.0316227766,l2,l1,0.1666666667
0.7 0.3,4,1,1,l2,l1,0.1666666667
0.7 0.3,4,1,31.6227766017,l2,l1,0.1666666667
0.7 0.3,4,1,1000,l2,l1,0.1666666667
0.7 0.3,4,31.6227766017,0.001,l2,l1,0.1666666667
0.7 0.3,4,31.6227766017,0.0316227766,l2,l1,0.1666666667
0.7 0.3,4,31.6227766017,1,l2,l1,0.1666666667
0.7 0.3,4,31.6227766017,31.6227766017,l2,l1,0.1666666667
0.7 0.3,4,31.6227766017,1000,l2,l1,0.1666666667
0.7 0.3,4,1000,0.001,l2,l1,0.1666666667
0.7 0.3,4,1000,0.0316227766,l2,l1,0.1666666667
0.7 0.3,4,1000,1,l2,l1,0.1666666667
0.7 0.3,4,1000,31.6227766017,l2,l1,0.1666666667
0.7 0.3,4,1000,1000,l2,l1,0.1666666667
0.3 0.7,4,0.0316227766,31.6227766017,l2,l1,0.1666666667
0.3 0.7,4,1,0.0316227766,l2,l1,0.1666666667
0.3 0.7,4,1,1,l2,l1,0.1666666667
0.3 0.7,4,31.6227766017,0.0316227766,l2,l1,0.1666666667
0.3 0.7,4,1000,0.0316227766,l2,l1,0.1666666667
0.7 0.3,4,1,0.0316227766,l2,l2,0.1666666667
0.7 0.3,4,31.6227766017,0.001,l2,l2,0.1666666667
0.7 0.3,4,31.6227766017,0.0316227766,l2,l2,0.1666666667
0.7 0.3,4,31.6227766017,1,l2,l2,0.1666666667
0.7 0.3,4,31.6227766017,31.6227766017,l2,l2,0.1666666667
0.7 0.3,4,31.6227766017,1000,l2,l2,0.1666666667
0.7 0.3,4,1000,0.001,l2,l2,0.1666666667
0.7 0.3,4,1000,0.0316227766,l2,l2,0.1666666667
0.7 0.3,4,1000,1,l2,l2,0.1666666667
0.7 0.3,4,1000,31.6227766017,l2,l2,0.1666666667
0.7 0.3,4,1000,1000,l2,l2,0.1666666667
0.3 0.7,4,1,31.6227766017,l2,l1,0.1538461538
0.3 0.7,4,1,1000,l2,l1,0.1538461538
0.3 0.7,4,31.6227766017,1,l2,l1,0.1538461538
0.3 0.7,4,31.6227766017,31.6227766017,l2,l1,0.1538461538
0.3 0.7,4,31.6227766017,1000,l2,l1,0.1538461538
0.3 0.7,4,1000,1,l2,l1,0.1538461538
0.3 0.7,4,1000,31.6227766017,l2,l1,0.1538461538
0.3 0.7,4,1000,1000,l2,l1,0.1538461538
0.5 0.5,1,0.001,0.001,l1,l1,0
0.5 0.5,1,0.001,0.0316227766,l1,l1,0
0.5 0.5,1,0.001,1,l1,l1,0
0.5 0.5,1,0.001,31.6227766017,l1,l1,0
0.5 0.5,1,0.001,1000,l1,l1,0
0.5 0.5,1,0.0316227766,0.001,l1,l1,0
0.5 0.5,1,0.0316227766,0.0316227766,l1,l1,0
0.5 0.5,1,0.0316227766,1,l1,l1,0
0.5 0.5,1,0.0316227766,31.6227766017,l1,l1,0
0.5 0.5,1,0.0316227766,1000,l1,l1,0
0.5 0.5,1,1,0.001,l1,l1,0
0.5 0.5,1,1,0.0316227766,l1,l1,0
0.5 0.5,1,1,1,l1,l1,0
0.5 0.5,1,1,31.6227766017,l1,l1,0
0.5 0.5,1,1,1000,l1,l1,0
0.5 0.5,1,31.6227766017,0.001,l1,l1,0
0.5 0.5,1,31.6227766017,0.0316227766,l1,l1,0
0.5 0.5,1,31.6227766017,1,l1,l1,0
0.5 0.5,1,31.6227766017,31.6227766017,l1,l1,0
0.5 0.5,1,31.6227766017,1000,l1,l1,0
0.5 0.5,1,1000,0.001,l1,l1,0
0.5 0.5,1,1000,0.0316227766,l1,l1,0
0.5 0.5,1,1000,1,l1,l1,0
0.5 0.5,1,1000,31.6227766017,l1,l1,0
0.5 0.5,1,1000,1000,l1,l1,0
0.5 0.5,2,0.001,0.001,l1,l1,0
0.5 0.5,2,0.001,0.0316227766,l1,l1,0
0.5 0.5,2,0.001,1,l1,l1,0
0.5 0.5,2,0.001,31.6227766017,l1,l1,0
0.5 0.5,2,0.001,1000,l1,l1,0
0.5 0.5,2,0.0316227766,0.001,l1,l1,0
0.5 0.5,2,0.0316227766,0.0316227766,l1,l1,0
0.5 0.5,2,0.0316227766,1,l1,l1,0
0.5 0.5,2,0.0316227766,31.6227766017,l1,l1,0
0.5 0.5,2,0.0316227766,1000,l1,l1,0
0.5 0.5,2,1,0.001,l1,l1,0
0.5 0.5,2,1,0.0316227766,l1,l1,0
0.5 0.5,2,1,1,l1,l1,0
0.5 0.5,2,1,31.6227766017,l1,l1,0
0.5 0.5,2,1,1000,l1,l1,0
0.5 0.5,2,31.6227766017,0.001,l1,l1,0
0.5 0.5,2,31.6227766017,0.0316227766,l1,l1,0
0.5 0.5,2,31.6227766017,1,l1,l1,0
0.5 0.5,2,31.6227766017,31.6227766017,l1,l1,0
0.5 0.5,2,31.6227766017,1000,l1,l1,0
0.5 0.5,2,1000,0.001,l1,l1,0
0.5 0.5,2,1000,0.0316227766,l1,l1,0
0.5 0.5,2,1000,1,l1,l1,0
0.5 0.5,2,1000,31.6227766017,l1,l1,0
0.5 0.5,2,1000,1000,l1,l1,0
0.5 0.5,3,0.001,0.0316227766,l1,l1,0
0.5 0.5,3,0.001,1,l1,l1,0
0.5 0.5,3,0.001,31.6227766017,l1,l1,0
0.5 0.5,3,0.001,1000,l1,l1,0
0.5 0.5,3,0.0316227766,1,l1,l1,0
0.5 0.5,3,1,0.0316227766,l1,l1,0
0.7 0.3,1,0.001,0.001,l1,l1,0
0.7 0.3,1,0.001,0.0316227766,l1,l1,0
0.7 0.3,1,0.001,1,l1,l1,0
0.7 0.3,1,0.001,31.6227766017,l1,l1,0
0.7 0.3,1,0.001,1000,l1,l1,0
0.7 0.3,1,0.0316227766,0.001,l1,l1,0
0.7 0.3,1,0.0316227766,0.0316227766,l1,l1,0
0.7 0.3,1,0.0316227766,1,l1,l1,0
0.7 0.3,1,0.0316227766,31.6227766017,l1,l1,0
0.7 0.3,1,0.0316227766,1000,l1,l1,0
0.7 0.3,1,1,0.001,l1,l1,0
0.7 0.3,1,1,0.0316227766,l1,l1,0
0.7 0.3,1,1,1,l1,l1,0
0.7 0.3,1,1,31.6227766017,l1,l1,0
0.7 0.3,1,1,1000,l1,l1,0
0.7 0.3,1,31.6227766017,0.001,l1,l1,0
0.7 0.3,1,31.6227766017,0.0316227766,l1,l1,0
0.7 0.3,1,31.6227766017,1,l1,l1,0
0.7 0.3,1,31.6227766017,31.6227766017,l1,l1,0
0.7 0.3,1,31.6227766017,1000,l1,l1,0
0.7 0.3,1,1000,0.001,l1,l1,0
0.7 0.3,1,1000,0.0316227766,l1,l1,0
0.7 0.3,1,1000,1,l1,l1,0
0.7 0.3,1,1000,31.6227766017,l1,l1,0
0.7 0.3,1,1000,1000,l1,l1,0
0.7 0.3,2,0.001,0.001,l1,l1,0
0.7 0.3,2,0.001,0.0316227766,l1,l1,0
0.7 0.3,2,0.001,1,l1,l1,0
0.7 0.3,2,0.001,31.6227766017,l1,l1,0
0.7 0.3,2,0.001,1000,l1,l1,0
0.7 0.3,2,0.0316227766,0.001,l1,l1,0
0.7 0.3,2,0.0316227766,0.0316227766,l1,l1,0
0.7 0.3,2,0.0316227766,1,l1,l1,0
0.7 0.3,2,0.0316227766,31.6227766017,l1,l1,0
0.7 0.3,2,0.0316227766,1000,l1,l1,0
0.7 0.3,2,1,0.001,l1,l1,0
0.7 0.3,2,1,0.0316227766,l1,l1,0
0.7 0.3,2,1,1,l1,l1,0
0.7 0.3,2,1,31.6227766017,l1,l1,0
0.7 0.3,2,1,1000,l1,l1,0
0.7 0.3,2,31.6227766017,0.0316227766,l1,l1,0
0.7 0.3,2,31.6227766017,1,l1,l1,0
0.7 0.3,2,31.6227766017,31.6227766017,l1,l1,0
0.7 0.3,2,31.6227766017,1000,l1,l1,0
0.7 0.3,2,1000,0.0316227766,l1,l1,0
0.7 0.3,2,1000,1,l1,l1,0
0.7 0.3,2,1000,31.6227766017,l1,l1,0
0.7 0.3,2,1000,1000,l1,l1,0
0.7 0.3,3,0.001,0.001,l1,l1,0
0.7 0.3,3,0.001,0.0316227766,l1,l1,0
0.7 0.3,3,0.001,1,l1,l1,0
0.7 0.3,3,0.001,31.6227766017,l1,l1,0
0.7 0.3,3,0.001,1000,l1,l1,0
0.3 0.7,1,0.001,0.001,l1,l1,0
0.3 0.7,1,0.001,0.0316227766,l1,l1,0
0.3 0.7,1,0.001,1,l1,l1,0
0.3 0.7,1,0.001,31.6227766017,l1,l1,0
0.3 0.7,1,0.001,1000,l1,l1,0
0.3 0.7,1,0.0316227766,0.001,l1,l1,0
0.3 0.7,1,0.0316227766,0.0316227766,l1,l1,0
0.3 0.7,1,0.0316227766,1,l1,l1,0
0.3 0.7,1,0.0316227766,31.6227766017,l1,l1,0
0.3 0.7,1,0.0316227766,1000,l1,l1,0
0.3 0.7,1,1,0.001,l1,l1,0
0.3 0.7,1,1,0.0316227766,l1,l1,0
0.3 0.7,1,1,1,l1,l1,0
0.3 0.7,1,1,31.6227766017,l1,l1,0
0.3 0.7,1,1,1000,l1,l1,0
0.3 0.7,1,31.6227766017,0.001,l1,l1,0
0.3 0.7,1,31.6227766017,0.0316227766,l1,l1,0
0.3 0.7,1,31.6227766017,1,l1,l1,0
0.3 0.7,1,31.6227766017,31.6227766017,l1,l1,0
0.3 0.7,1,31.6227766017,1000,l1,l1,0
0.3 0.7,1,1000,0.001,l1,l1,0
0.3 0.7,1,1000,0.0316227766,l1,l1,0
0.3 0.7,1,1000,1,l1,l1,0
0.3 0.7,1,1000,31.6227766017,l1,l1,0
0.3 0.7,1,1000,1000,l1,l1,0
0.3 0.7,2,0.001,0.001,l1,l1,0
0.3 0.7,2,0.001,0.0316227766,l1,l1,0
0.3 0.7,2,0.001,1,l1,l1,0
0.3 0.7,2,0.001,31.6227766017,l1,l1,0
0.3 0.7,2,0.001,1000,l1,l1,0
0.3 0.7,2,0.0316227766,0.001,l1,l1,0
0.3 0.7,2,0.0316227766,0.0316227766,l1,l1,0
0.3 0.7,2,0.0316227766,1,l1,l1,0
0.3 0.7,2,0.0316227766,31.6227766017,l1,l1,0
0.3 0.7,2,0.0316227766,1000,l1,l1,0
0.3 0.7,2,1,0.001,l1,l1,0
0.3 0.7,2,1,0.0316227766,l1,l1,0
0.3 0.7,2,1,1,l1,l1,0
0.3 0.7,2,1,31.6227766017,l1,l1,0
0.3 0.7,2,1,1000,l1,l1,0
0.3 0.7,2,31.6227766017,0.001,l1,l1,0
0.3 0.7,2,31.6227766017,0.0316227766,l1,l1,0
0.3 0.7,2,31.6227766017,1,l1,l1,0
0.3 0.7,2,31.6227766017,31.6227766017,l1,l1,0
0.3 0.7,2,31.6227766017,1000,l1,l1,0
0.3 0.7,2,1000,0.001,l1,l1,0
0.3 0.7,2,1000,0.0316227766,l1,l1,0
0.3 0.7,2,1000,1,l1,l1,0
0.3 0.7,2,1000,31.6227766017,l1,l1,0
0.3 0.7,2,1000,1000,l1,l1,0
0.3 0.7,3,0.001,0.0316227766,l1,l1,0
0.5 0.5,1,0.001,0.001,l1,l2,0
0.5 0.5,1,0.001,0.0316227766,l1,l2,0
0.5 0.5,1,0.001,1,l1,l2,0
0.5 0.5,1,0.001,31.6227766017,l1,l2,0
0.5 0.5,1,0.001,1000,l1,l2,0
0.5 0.5,1,0.0316227766,0.001,l1,l2,0
0.5 0.5,1,0.0316227766,0.0316227766,l1,l2,0
0.5 0.5,1,0.0316227766,1,l1,l2,0
0.5 0.5,1,0.0316227766,31.6227766017,l1,l2,0
0.5 0.5,1,0.0316227766,1000,l1,l2,0
0.5 0.5,1,1,0.001,l1,l2,0
0.5 0.5,1,1,0.0316227766,l1,l2,0
0.5 0.5,1,1,1,l1,l2,0
0.5 0.5,1,1,31.6227766017,l1,l2,0
0.5 0.5,1,1,1000,l1,l2,0
0.5 0.5,1,31.6227766017,0.001,l1,l2,0
0.5 0.5,1,31.6227766017,0.0316227766,l1,l2,0
0.5 0.5,1,31.6227766017,1,l1,l2,0
0.5 0.5,1,31.6227766017,31.6227766017,l1,l2,0
0.5 0.5,1,31.6227766017,1000,l1,l2,0
0.5 0.5,1,1000,0.001,l1,l2,0
0.5 0.5,1,1000,0.0316227766,l1,l2,0
0.5 0.5,1,1000,1,l1,l2,0
0.5 0.5,1,1000,31.6227766017,l1,l2,0
0.5 0.5,1,1000,1000,l1,l2,0
0.5 0.5,2,0.001,0.001,l1,l2,0
0.5 0.5,2,0.001,0.0316227766,l1,l2,0
0.5 0.5,2,0.001,1,l1,l2,0
0.5 0.5,2,0.001,31.6227766017,l1,l2,0
0.5 0.5,2,0.001,1000,l1,l2,0
0.5 0.5,2,0.0316227766,0.001,l1,l2,0
0.5 0.5,2,0.0316227766,0.0316227766,l1,l2,0
0.5 0.5,2,0.0316227766,1,l1,l2,0
0.5 0.5,2,0.0316227766,31.6227766017,l1,l2,0
0.5 0.5,2,0.0316227766,1000,l1,l2,0
0.5 0.5,2,1,0.001,l1,l2,0
0.5 0.5,2,1,0.0316227766,l1,l2,0
0.5 0.5,2,1,1,l1,l2,0
0.5 0.5,2,1,31.6227766017,l1,l2,0
0.5 0.5,2,1,1000,l1,l2,0
0.5 0.5,2,31.6227766017,0.001,l1,l2,0
0.5 0.5,2,31.6227766017,0.0316227766,l1,l2,0
0.5 0.5,2,31.6227766017,1,l1,l2,0
0.5 0.5,2,31.6227766017,31.6227766017,l1,l2,0
0.5 0.5,2,31.6227766017,1000,l1,l2,0
0.5 0.5,2,1000,0.001,l1,l2,0
0.5 0.5,2,1000,0.0316227766,l1,l2,0
0.5 0.5,2,1000,1,l1,l2,0
0.5 0.5,2,1000,31.6227766017,l1,l2,0
0.5 0.5,2,1000,1000,l1,l2,0
0.5 0.5,3,0.001,0.001,l1,l2,0
0.5 0.5,3,0.001,0.0316227766,l1,l2,0
0.5 0.5,3,0.001,1,l1,l2,0
0.5 0.5,3,0.001,31.6227766017,l1,l2,0
0.5 0.5,3,0.001,1000,l1,l2,0
0.7 0.3,1,0.001,0.001,l1,l2,0
0.7 0.3,1,0.001,0.0316227766,l1,l2,0
0.7 0.3,1,0.001,1,l1,l2,0
0.7 0.3,1,0.001,31.6227766017,l1,l2,0
0.7 0.3,1,0.001,1000,l1,l2,0
0.7 0.3,1,0.0316227766,0.001,l1,l2,0
0.7 0.3,1,0.0316227766,0.0316227766,l1,l2,0
0.7 0.3,1,0.0316227766,1,l1,l2,0
0.7 0.3,1,0.0316227766,31.6227766017,l1,l2,0
0.7 0.3,1,0.0316227766,1000,l1,l2,0
0.7 0.3,1,1,0.001,l1,l2,0
0.7 0.3,1,1,0.0316227766,l1,l2,0
0.7 0.3,1,1,1,l1,l2,0
0.7 0.3,1,1,31.6227766017,l1,l2,0
0.7 0.3,1,1,1000,l1,l2,0
0.7 0.3,1,31.6227766017,0.001,l1,l2,0
0.7 0.3,1,31.6227766017,0.0316227766,l1,l2,0
0.7 0.3,1,31.6227766017,1,l1,l2,0
0.7 0.3,1,31.6227766017,31.6227766017,l1,l2,0
0.7 0.3,1,31.6227766017,1000,l1,l2,0
0.7 0.3,1,1000,0.001,l1,l2,0
0.7 0.3,1,1000,0.0316227766,l1,l2,0
0.7 0.3,1,1000,1,l1,l2,0
0.7 0.3,1,1000,31.6227766017,l1,l2,0
0.7 0.3,1,1000,1000,l1,l2,0
0.7 0.3,2,0.001,0.001,l1,l2,0
0.7 0.3,2,0.001,0.0316227766,l1,l2,0
0.7 0.3,2,0.001,1,l1,l2,0
0.7 0.3,2,0.001,31.6227766017,l1,l2,0
0.7 0.3,2,0.001,1000,l1,l2,0
0.7 0.3,2,0.0316227766,0.001,l1,l2,0
0.7 0.3,2,0.0316227766,0.0316227766,l1,l2,0
0.7 0.3,2,0.0316227766,1,l1,l2,0
0.7 0.3,2,0.0316227766,31.6227766017,l1,l2,0
0.7 0.3,2,0.0316227766,1000,l1,l2,0
0.7 0.3,2,1,0.001,l1,l2,0
0.7 0.3,2,1,0.0316227766,l1,l2,0
0.7 0.3,2,1,1,l1,l2,0
0.7 0.3,2,1,31.6227766017,l1,l2,0
0.7 0.3,2,1,1000,l1,l2,0
0.7 0.3,2,31.6227766017,0.001,l1,l2,0
0.7 0.3,2,31.6227766017,0.0316227766,l1,l2,0
0.7 0.3,2,31.6227766017,1,l1,l2,0
0.7 0.3,2,31.6227766017,31.6227766017,l1,l2,0
0.7 0.3,2,31.6227766017,1000,l1,l2,0
0.7 0.3,2,1000,0.001,l1,l2,0
0.7 0.3,2,1000,0.0316227766,l1,l2,0
0.7 0.3,2,1000,1,l1,l2,0
0.7 0.3,2,1000,31.6227766017,l1,l2,0
0.7 0.3,2,1000,1000,l1,l2,0
0.7 0.3,3,0.001,0.001,l1,l2,0
0.7 0.3,3,0.001,0.0316227766,l1,l2,0
0.7 0.3,3,0.001,1,l1,l2,0
0.7 0.3,3,0.001,31.6227766017,l1,l2,0
0.7 0.3,3,0.001,1000,l1,l2,0
0.3 0.7,1,0.001,0.001,l1,l2,0
0.3 0.7,1,0.001,0.0316227766,l1,l2,0
0.3 0.7,1,0.001,1,l1,l2,0
0.3 0.7,1,0.001,31.6227766017,l1,l2,0
0.3 0.7,1,0.001,1000,l1,l2,0
0.3 0.7,1,0.0316227766,0.001,l1,l2,0
